Movie_Name,Author_Review,Polarity,Text,Score,Full_Review
The Tooth Fairy,Felix Gonzalez Jr.,-0.13333333333333333,"The screenplay is hilariously awful, with such howl-inducing lines as, 'Life isn't a Harry Potter novel,' and 'What kind of whack job takes a Hyundai?'",0.0,http://www.dvdreview.com/reviews/pages/2391.shtml
The Tooth Fairy,David Nusair,0.0,...virtually nothing here to hold the viewer's interest.,0.0,http://www.reelfilm.com/toothfry.htm
The Tooth Fairy,Kevin Carr,-0.7999999999999999,"The gore scenes deliver in spades, and I give a lot of credit to the filmmakers for keeping the monster away from making stupid jokes as it kills people.",1.0,http://www.7mpictures.com/inside/reviews/thetoothfairydvd_review.htm
To Save a Life,Nell Minow,0.0,,1.0,http://blog.beliefnet.com/moviemom/2010/08/to-save-a-life.html
To Save a Life,Wesley Morris,0.0,,0.0,http://www.boston.com/ae/movies/articles/2010/02/01/growing_up_growing_a_conscience_in_to_save_a_life/
To Save a Life,Roger Moore,-0.06666666666666665,"One of the biggest problems in most Christian genre movies is their lack of edge, a reluctance on the part of the filmmakers to show ugly reality.",0.0,
To Save a Life,Nell Minow,0.4,"One of its strengths is its willingness to engage candidly and open-heartedly with the real issues that confront teenagers, giving it some heft and credibility.",1.0,http://blog.beliefnet.com/moviemom/2010/08/to-save-a-life.html
To Save a Life,Ian Buckwalter,-0.0861111111111111,Miles ahead in terms of production values and an avoidance of overt proselytizing. It'll likely be an enormous hit with the evangelical communities at which it's targeted. That doesn't save it from being an utter failure outside that narrow context.,0.0,http://www.npr.org/templates/story/story.php?storyId=122784345
To Save a Life,Lou Lumenick,-0.2698412698412698,To Save a Life would be bland and boring even as a half-hour after-school special.,0.0,http://www.nypost.com/p/entertainment/movies/sermon_in_heavy_syrup_6VuBOKNPQgH2TKMzslpnhK
To Save a Life,Richard Propes,0.0,It does accomplish its mission of presenting a heartfelt and well thought out story through the eyes of faith.,1.0,https://theindependentcritic.com/to_save_a_life
To Save a Life,Sr. Rose Pacatte,0.125,"Whether or not youth audiences will grasp the full human, religious, spiritual and moral landscape or implications of what [To Save a Life] is saying and what Jake is seeking, ample resources are available for reflection and reinforcement.",1.0,https://www.ncronline.org/news/justice/save-life
To Save a Life,Brian Orndorf,0.16666666666666666,"Takes two solid hours to make its trite points on faith and personal salvation, growing more unbearable as it goes.",0.0,http://www.dvdtalk.com/reviews/45184/to-save-a-life/
To Save a Life,Danny Minton,0.32545454545454544,"I can see this being a positive influence for many who watch it and for some it could possibly even make a huge difference, and you don't get that from many movies these days.",1.0,http://crunchonthis.com/2010/08/02/new-on-dvd.aspx
To Save a Life,Todd Hertz,0.04732142857142856,Will the vague messages get across? Will viewers take anything out other than a missive to be kind and inclusive? Some certainly will. Some won't.,0.0,http://www.christianitytoday.com/ct/movies/reviews/2010/tosavelife.html
To Save a Life,Rob Thomas,0.1695238095238095,"What's worthy about ""To Save A Life"" comes purely from its nutritional value, and if a teenager becomes a more empathetic person as a result of seeing it, then it's worth it for him. A lot of his friends, though, might be too bored to get to the redemptio",0.0,http://host.madison.com/entertainment/movies/reviews/article_89d01152-c885-5b38-9064-9f97b615a4fd.html
Edge of Darkness,Ed Koch,0.0,"The acting, with the exception of Bojana Novakovic, adds nothing to the trite plot.",0.0,https://www.theatlantic.com/entertainment/archive/2010/02/edge-of-darkness-not-worth-seeing/35115/
Edge of Darkness,Candice Frederick,-0.5222222222222223,"In a film of unimpressionable characters, and vacant plots, Edge of Darkness is forgettable, dry and at times boring.",0.0,http://www.reeltalkonline.org/2010/06/dvd-review-edge-of-darkness.html
Edge of Darkness,Rafer Guzman,0.25,"Gibson, of course, snaps and snarls and blows out some brains with a joylessness that is thoroughly enjoyable. It's like he never left.",1.0,http://www.newsday.com/entertainment/movies/mel-gibson-in-edge-of-darkness-1.1727966
Edge of Darkness,Nick Schager,0.0,Glossy exploitation cinema without guts.,0.0,http://www.nickschager.com/nsfp/2010/06/edge-of-darkness-2010-c.html
Edge of Darkness,Giles Hardie,0.10000000000000005,"Though Ray Winstone does his best to elevate this story, in the end Edge of Darkness is a fairly basic Mel beats up the bad guys flick",1.0,http://blogs.smh.com.au/entertainment/getflickd/2010/02/adults_only_wee.html
Edge of Darkness,Sandra Hall,0.35,"It's a Mel Gibson film. You take him as he comes, which is usually at full pelt.",1.0,http://www.smh.com.au/news/entertainment/film/film-reviews/edge-of-darkness/2010/02/02/1264876021273.html
Edge of Darkness,Brian Eggert,0.0,A fierce thriller that doesn’t disappoint.,1.0,https://deepfocusreview.com/reviews/edge-of-darkness/
Edge of Darkness,Sean Axmaker,0.07575757575757575,William Monahan’s script also brings a new sensibility that recalls contemporary American crime fiction as much as British conspiracy thriller and Campbell gives this take momentum and menace.,1.0,https://streamondemandathome.com/edge-of-darkness-gibson-2010-dvd-blu-ray-vod/
Edge of Darkness,Rene Jordan,0.175,Irrational thriller.  [Full review in Spanish] ,0.0,https://www.newspapers.com/clip/112010709/edge-of-darkness/
Edge of Darkness,Mike Massie,-0.23333333333333328,Only in Mel Gibson movies do the bad guys pay double for their crimes.,1.0,http://gonewiththetwins.com/new/edge-of-darkness-2010/
Edge of Darkness,Jason Best,0.3111111111111111,The story's more thoughtful nuances (including the idea of a father haunted by guilt and his daughter's ghost) are soon jettisoned for more visceral thrills as Gibson's remorseless avenger hunts down his foes.,0.0,https://www.whatsontv.co.uk/movie-talk/edge-of-darkness-review-325380/
Edge of Darkness,Richard Propes,-0.6,A disappointing mishmash of performances.,0.0,https://theindependentcritic.com/edge_of_darkness
When in Rome,Nell Minow,0.0,,1.0,http://blog.beliefnet.com/moviemom/2010/06/when-in-rome.html
When in Rome,Joshua Rothkopf,0.0,,0.0,
When in Rome,Laremy Legel,0.0,,0.0,http://www.film.com/movies/review-in-rome-worth-skipping/31936459
When in Rome,Marc Lee,-0.5,"You know from the start of Mark Steven Johnson's silly, sunny romcom how it's going to end.",0.0,http://www.telegraph.co.uk/culture/film/filmreviews/7854621/When-in-Rome-review.html
When in Rome,Robbie Collin,0.1,Number of record-scratch jokes? Three. Number of walk-into-a-lamppost gags? Two. Number of laughs? Take a wild guess.,0.0,http://www.newsoftheworld.co.uk/entertainment/Comedy/857690/When-In-Rome-PG.html
When in Rome,Peter Bradshaw,0.175,"This Italian-themed romcom is not quite the most unspeakably-patronising-to-Italy film of all time. That prize belongs to the musical Nine, starring Daniel Day-Lewis. But it runs a very close second.",0.0,http://www.guardian.co.uk/film/2010/jun/24/when-in-rome-film-review
When in Rome,Mike Massie,-0.325,"The dialogue is terribly forced, the acting is exaggerated, and the characters are excessively fake.",0.0,http://gonewiththetwins.com/new/when-in-rome-2010/
When in Rome,Richard Propes,0.39999999999999997,Cute and charming enough to pass for a matinee date.,0.0,https://theindependentcritic.com/when_in_rome
When in Rome,Debbie Lynn Elias,0.25,WHEN IN ROME. A gift from the comic gods themselves.,1.0,http://behindthelensonline.net/site/reviews/when-in-rome/
When in Rome,Brigit Grant,0.15,Fun and girly are key adjectives in this movie.,0.0,http://www.express.co.uk/entertainment/films/183597/Film-review-round-up-Get-Him-To-The-Greek-Whatever-Works-Tetro-The-Collector
When in Rome,Jeffrey Lyles,0.17954545454545454,"My kind of romantic comedy. It's funny, a bit silly and doesn't try to set the new standard for romance in the genre. It's exactly what you expect, but in a good way.",1.0,http://lylesmoviefiles.com/2013/02/07/film-flashback-when-in-rome-2010/
When in Rome,Greg Maki,-0.09999999999999998,Most of the troubles come from the painfully unfunny shenanigans of Beth's magic-stricken admirers.,0.0,http://makiatthemovies.blogspot.com/2010/04/when-in-rome.html
Dear John,Anna Smith,0.0,Seyfried and Tatum have tangible chemistry...,1.0,https://metro.co.uk/2010/04/15/dear-john-film-review-243256/
Dear John,Aaron Hillis,0.0,,0.0,http://www.timeout.com/film/reviews/88308/dear_john.html
Dear John,Christine Champ,-0.6999999999999998,It's like a bad soap opera.,0.0,http://www.film.com/movies/review-dear-john-im-dumping/32077097
Dear John,Ian Buckwalter,0.09,"What starts as a charming anachronism %u2014 pens, paper and the postal service in an impersonal digital age %u2014 becomes tedious as Hallstrom is reduced to interminable, repetitive montages covering the many months that the pair are apart.",0.0,http://www.npr.org/templates/story/story.php?storyId=123277660
Dear John,Derek Malcolm,0.7333333333333334,"Tatum makes what use he can of his two expressions, Seyfried does her best to perk things up and much the best performer is Richard Jenkins...",0.0,
Dear John,Phelim O'Neill,-0.125,"Their romance fizzles out in their letters to each other, and the plot gets lost in the post.",0.0,http://www.guardian.co.uk/film/2010/apr/15/dear-john-review
Dear John,Rene Jordan,0.22777777777777777,Super melodramatic but well acted. [Full review in Spanish] ,1.0,https://www.newspapers.com/clip/111619631/dear-john/
Dear John,Stuart McGurk,-0.37142857142857144,"Dig beneath the surface of its fuzzy, emotional, tear-dripped exterior, and there's something quite terrifying about Dear John: a coldly efficient machine at work, ruthlessly hitting big emotional notes at regular intervals...",0.0,https://www.nme.com/reviews/reviews-movie-11219-311843
Dear John,Richard Propes,0.22499999999999998,It's the kind of film that almost never wins the recommendations of the film critics.,0.0,https://theindependentcritic.com/dear_john
Dear John,Kate Rodger,0.0,For me Dear John just didn't have the goods.,0.0,https://www.newshub.co.nz/entertainment/dear-john-review-2010042415
Dear John,Jesse Hassenger,-0.1375,"At first it looks as if the movie might at least raise some difficult wartime questions, but Sparks only uses real-world elements like war or autism or cancer to shuffle the tragic-romance deck.",0.0,http://www.thelmagazine.com/newyork/nicholas-sparks-takes-a-dump/Content?oid=1532163
Dear John,John Hanlon,0.125,The father-son relationship stands out in this sentimental and satisfying drama.,1.0,http://www.breitbart.com/Big-Hollywood/2010/02/11/REVIEW--Old-Fashioned-Romance-Carries-Dear-John-Over-Rough-Spots
From Paris With Love,Candice Frederick,-0.004166666666666674,"Aside from a generic plot twist and a little clever banter between the two fellas, From Paris With Love fails to deliver the excitement to which the trailer alludes.",0.0,http://www.reeltalkonline.org/2010/06/dvd-review-from-paris-with-love.html
From Paris With Love,Laremy Legel,-0.3,"If you like a violent, silly, frenetic style of film you'll find plenty to enjoy here.",1.0,http://www.film.com/movies/review-from-paris-with-love-a-satisfying-escape
From Paris With Love,Nick Schager,0.3,"Lacking any compelling style, attitude or storytelling.",0.0,http://www.nickschager.com/nsfp/2010/06/from-paris-with-love-2010-c.html
From Paris With Love,Angie Errigo,0.3666666666666667,"It(TM)s absolute nonsense, of course, but does quite nicely as knockabout Friday night fun. We can smell a sequel if Travolta can be bothered.",1.0,http://www.empireonline.com/reviews/reviewcomplete.asp?FID=136699
From Paris With Love,David Jenkins,0.125,"It(TM)s not enough to allow the film to rise above its guilty-until-proven-innocent conception of justice. Reprehensible, then, but what fun!",1.0,http://www.timeout.com/film/reviews/88295/from-paris-with-love.html
From Paris With Love,Kate Muir,0.5,"Travolta eventually becomes a parody of himself: with nudge-nudge references to the Royale cheeseburger, famously of Pulp Fiction.",0.0,http://entertainment.timesonline.co.uk/tol/arts_and_entertainment/film/film_reviews/article7041078.ece
From Paris With Love,Brian Eggert,0.43333333333333335,The most underdeveloped character... remains Paris. Why set a movie in the City of Lights if you aren’t going to exploit it for everything it’s worth? The movie could’ve been called “From Cleveland with Love” and no one would’ve known the difference.,0.0,https://deepfocusreview.com/reviews/from-paris-with-love/
From Paris With Love,Rene Jordan,0.175,The velocity is hypnotic and Pierre Morel is the magician in this sleight of hand.  [Full review in Spanish] ,1.0,https://www.newspapers.com/clip/111133590/from-paris-with-love/
From Paris With Love,Mike Massie,0.0,"There's never a break to build character, a pause to appreciate a joke, or cessations in the franticness to allow for explanations.",0.0,http://gonewiththetwins.com/new/from-paris-with-love-2010/
From Paris With Love,Richard Propes,0.05,Essentially a CIA action thriller with your rather run-of-the-mill buddy flick angle attached to it.,1.0,https://theindependentcritic.com/from_paris_with_love
From Paris With Love,Kate Rodger,-0.24166666666666667,"A crime not just against cinema but all of humanity, it's been a long, long time since a movie made me this mad.",0.0,https://www.newshub.co.nz/entertainment/from-paris-with-love-review-2010022715
From Paris With Love,Micheal Compton,0.032499999999999994,"From Paris With Love is dopey, slightly predictable and probably a little excessive. It's also a lot of fun.",1.0,https://www.bgdailynews.com/community/paris-may-be-predictable-but-it-s-still-enjoyable/article_c562c419-7dd7-5e4a-978c-17d7056787f1.html
I Love You Phillip Morris,Jennie Yabroff,0.275,"The movie wants us to overlook its implausibility by insisting that it's all true. We believe it, we just don't care.",0.0,http://www.newsweek.com/movies-jim-carrey-i-love-you-phillip-morris-70077
I Love You Phillip Morris,Peter Howell,0.31666666666666665,This is the most interesting role Carrey has had in a long while.,1.0,http://www.thestar.com/entertainment/movies/article/948589--phillip-morris-gay-or-straight-love-can-drive-you-crazy
I Love You Phillip Morris,J. R. Jones,0.14062499999999997,Russell was a fascinating character and a real puzzle box; but the filmmakers have turned his life into a broad farce with one wocka-wocka gag after another.,0.0,http://www.chicagoreader.com/chicago/i-love-you-phillip-morris/Film?oid=2836679
I Love You Phillip Morris,Rene Rodriguez,0.39999999999999997,"[The] elaborate cons may be fascinating, daring stuff, but the heart of the picture is the romantic relationship, which is squeezed out to the edges.",0.0,
I Love You Phillip Morris,Marc Savlov,0.07261904761904761,"It's confused and confusing, by turns hilarious and off-putting. In short, it's awfully hard to love I Love You Philip Morris.",0.0,http://www.austinchronicle.com/gyrobase/Calendar/Film?Film=oid%3A1126551
I Love You Phillip Morris,Steven Rea,0.5020833333333333,"Yes, some familiar Carrey tactics are on display, but the star's performance has real heart - it's easily the best thing he has done since Eternal Sunshine of the Spotless Mind.",1.0,http://www.philly.com/philly/entertainment/movies/20101217__I_Love_You_Phillip_Morris___Strange_but_true.html
I Love You Phillip Morris,Diego Batlle,0.11666666666666667,"With a solid script and daring performances, the film is enjoyable and will inevitably become a cult classic in spite of some of its uneven gags. [Full review in Spanish]",1.0,https://www.otroscines.com/nota?idnota=4551
I Love You Phillip Morris,Rene Jordan,-0.24583333333333332,Observed at a distance you cannot deny the cruel grace of this ridiculous tragic-comedy.   [Full review in Spanish] ,1.0,https://www.newspapers.com/clip/107333104/i-love-your-phillip-morris-12/
I Love You Phillip Morris,Stuart McGurk,-0.016666666666666663,"A comedy that's all the funnier for the laughs carrying weight, a drama that's all the slicker for having a lighter side, a bit of a mess but a really fun mess...",1.0,https://www.nme.com/reviews/reviews-movie-11160-312594
I Love You Phillip Morris,Steve Erickson,0.3433333333333334,"Hilariously forthright about Steven's sexuality in ways queer problem dramas rarely begin to suggest, I Love You Phillip Morris lights a path for American gay cinema beyond niche-oriented indies and bigger-budget films about martyred role models.",1.0,https://www.nashvillescene.com/arts-culture/film/article/13036751/jim-carreys-riotous-talltale-gay-romance-is-one-of-the-years-happiest-surprises
I Love You Phillip Morris,Mike Massie,0.28409090909090906,Just the kind of role Carrey needed to stir up some controversy and deliver himself another chance to be seen in a slightly new light on the big screen.,1.0,http://gonewiththetwins.com/new/i-love-you-phillip-morris-2010/
I Love You Phillip Morris,Richard Propes,-0.13333333333333333,Far too tragic to be funny and far too funny to be tragic.,0.0,https://theindependentcritic.com/i_love_you_phillip_morris
Percy Jackson & the Olympians: The Lightning Thief,Amy Nicholson,0.06666666666666667,The Greek gods had outsized powers and petty grievances. These Gen-Y demigods are no different - it's a whole generation of kids with daddy issues,0.0,http://amyweekly.com/?p=661
Percy Jackson & the Olympians: The Lightning Thief,A.O. Scott,0.55,I thought it was mischievous and witty and amusing and I was just sort of drawn into it.,1.0,
Percy Jackson & the Olympians: The Lightning Thief,Kate Muir,0.25,"Kids will love it, and adults may relish Pierce Brosnan's Centaur, and Steve Coogan as Hades - in his personal hell just under Hollywood.",1.0,http://entertainment.timesonline.co.uk/tol/arts_and_entertainment/film/film_reviews/article7023531.ece
Percy Jackson & the Olympians: The Lightning Thief,Tim Robey,0.0,A slab of market research in search of an actual movie.,0.0,http://www.telegraph.co.uk/culture/film/filmreviews/7223740/Percy-Jackson-and-the-Lightning-Thief-review.html
Percy Jackson & the Olympians: The Lightning Thief,Nigel Andrews,0.3,Digitisation reigns - spectacular visual effects - while the dialogue drizzles and sploshes.,0.0,http://www.ft.com/cms/s/2/c0a90d8e-1667-11df-bf44-00144feab49a.html
Percy Jackson & the Olympians: The Lightning Thief,Anthony Quinn,0.0925,"If they'd played it for laughs it might just have worked, but in fact its earnest tone and digimation effects stick pretty close to the Potter model. We could be in for a very long haul.",0.0,http://www.independent.co.uk/arts-entertainment/films/reviews/percy-jackson-and-the-lightning-thief-pg-1896916.html
